track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,genre_category,pos,neg,neu,compound
Take Two,BTS,0.6931471805599453,6.51471269087253,3.871201010907891,18.5902745454182,3.044522437723423,4.672828834461906,3.258096538021482,1.6094379124341003,4.3694478524670215,93,Major,62,57,59,1.3862943611198906,0,3.6635616461296463,1.3862943611198906,pop,0.085,0.012,0.903,0.9509
Lover,Taylor Swift,0.6931471805599453,9.041803370152845,3.1780538303479458,20.598644556824887,5.081404364984463,4.709530201312334,5.099866427824199,0.0,1.791759469228055,206,Major,43,50,55,3.9318256327243257,0,2.772588722239781,2.3978952727983707,other,0.411,0.177,0.413,0.9923
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",1.3862943611198906,7.65491704784832,4.07753744390572,19.472900572659537,2.8903717578961645,4.787491742782046,2.995732273553991,1.0986122886681098,5.58724865840025,88,Minor,68,17,71,2.772588722239781,0,2.4849066497880004,1.791759469228055,other,0.098,0.097,0.805,-0.8198
Chemical,Post Malone,0.6931471805599453,7.835579246669965,3.6888794541139363,18.967795327865154,4.04305126783455,4.5217885770490405,4.0943445622221,1.3862943611198906,6.18826412308259,170,Major,50,37,90,0.0,0,2.5649493574615367,1.791759469228055,other,0.07,0.1,0.829,-0.6705
Mockingbird,Eminem,0.6931471805599453,9.471627133068433,4.127134385045092,20.93963372038009,3.912023005428146,4.59511985013459,7.781138509845015,1.791759469228055,5.3230099791384085,84,Minor,62,24,67,3.091042453358316,0,2.6390573296152584,3.367295829986474,hip-hop,0.142,0.086,0.772,0.9693
New Jeans,NewJeans,0.6931471805599453,4.356708826689592,3.58351893845611,17.202007786539756,2.1972245773362196,5.117993812416755,1.6094379124341003,1.6094379124341003,3.5553480614894135,134,Minor,81,53,72,3.9512437185814275,0,2.5649493574615367,1.791759469228055,pop,0.153,0.0,0.847,0.9524
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",1.3862943611198906,9.956933528241754,3.970291913552122,21.19652946349691,5.953243334287785,4.912654885736052,6.942156705699469,3.6375861597263857,5.746203190540153,116,Major,80,92,80,1.6094379124341003,0,2.3978952727983707,1.3862943611198906,other,0.124,0.044,0.832,0.926
Dandelions,Ruth B.,0.6931471805599453,8.138564737261632,3.091042453358316,20.833908448341862,3.7376696182833684,4.61512051684126,4.0943445622221,0.6931471805599453,3.4965075614664802,117,Major,61,45,69,1.0986122886681098,0,2.302585092994046,1.3862943611198906,other,0.285,0.059,0.656,0.9923
Bones,Imagine Dragons,0.6931471805599453,8.342601680684194,3.8066624897703196,20.546624001156466,4.59511985013459,4.6913478822291435,5.793013608384144,2.8903717578961645,5.0369526024136295,114,Minor,77,65,72,1.0986122886681098,0,2.0794415416798357,1.791759469228055,other,0.137,0.081,0.782,0.8139
Set Fire to the Rain,Adele,0.6931471805599453,9.598320165743328,3.784189633918261,20.87480226974858,4.48863636973214,4.727387818712341,7.679713639966372,1.791759469228055,6.253828811575473,108,Minor,61,47,68,0.0,0,2.6390573296152584,1.3862943611198906,other,0.187,0.171,0.643,0.765
